config_id,n_runs,seed_start,strategy_set,creator_multiplier,viewer_multiplier,video_multiplier,random_negative_prob,watch_jitter,behavior_flip_prob,treatment_extra_neg_prob,comedy_pool_diff_mean,comedy_pool_ci95_low,comedy_pool_ci95_high,comedy_pool_pvalue,comedy_negative_diff_mean,comedy_negative_ci95_low,comedy_negative_ci95_high,comedy_negative_pvalue,watch_ratio_diff_mean,watch_ratio_pvalue,shares_diff_mean,shares_pvalue,condition_output_dir
wj0.04_bf0.02_tn0.70,30,2026,four_arm,3,5,4,0.3,0.04,0.02,0.7,-0.1,-0.209189,0.009189,0.251387,1.433333,1.2093,1.657367,5e-05,-0.000119,0.655567,0.566667,0.339033,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.04_bf0.02_tn0.70
wj0.04_bf0.02_tn0.85,30,12026,four_arm,3,5,4,0.3,0.04,0.02,0.85,-0.066667,-0.157455,0.024122,0.505825,1.6,1.398446,1.801554,5e-05,0.000246,0.320534,0.366667,0.537723,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.04_bf0.02_tn0.85
wj0.04_bf0.02_tn1.00,30,22026,four_arm,3,5,4,0.3,0.04,0.02,1.0,0.0,0.0,0.0,1.0,1.9,1.790811,2.009189,5e-05,0.0,1.0,0.0,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.04_bf0.02_tn1.00
wj0.04_bf0.05_tn0.70,30,32026,four_arm,3,5,4,0.3,0.04,0.05,0.7,-0.1,-0.244061,0.044061,0.378481,1.366667,1.109592,1.623741,5e-05,-4.1e-05,0.874456,0.066667,0.958552,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.04_bf0.05_tn0.70
wj0.04_bf0.05_tn0.85,30,42026,four_arm,3,5,4,0.3,0.04,0.05,0.85,-0.2,-0.345585,-0.054415,0.030648,1.633333,1.434352,1.832314,5e-05,-8.5e-05,0.644368,-0.5,0.59257,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.04_bf0.05_tn0.85
wj0.04_bf0.05_tn1.00,30,52026,four_arm,3,5,4,0.3,0.04,0.05,1.0,-0.2,-0.345585,-0.054415,0.033348,1.866667,1.742943,1.99039,5e-05,0.0,1.0,0.0,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.04_bf0.05_tn1.00
wj0.08_bf0.02_tn0.70,30,62026,four_arm,3,5,4,0.3,0.08,0.02,0.7,0.0,0.0,0.0,1.0,1.266667,1.01922,1.514114,5e-05,0.000837,0.105145,-0.2,0.722364,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.08_bf0.02_tn0.70
wj0.08_bf0.02_tn0.85,30,72026,four_arm,3,5,4,0.3,0.08,0.02,0.85,-0.033333,-0.098667,0.032,1.0,1.6,1.377615,1.822385,5e-05,-0.000112,0.856657,-0.033333,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.08_bf0.02_tn0.85
wj0.08_bf0.02_tn1.00,30,82026,four_arm,3,5,4,0.3,0.08,0.02,1.0,-0.066667,-0.157455,0.024122,0.501675,1.9,1.790811,2.009189,5e-05,0.0,1.0,0.0,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.08_bf0.02_tn1.00
wj0.08_bf0.05_tn0.70,30,92026,four_arm,3,5,4,0.3,0.08,0.05,0.7,-0.066667,-0.157455,0.024122,0.501225,1.4,1.158574,1.641426,5e-05,0.000567,0.354732,0.133333,0.892855,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.08_bf0.05_tn0.70
wj0.08_bf0.05_tn0.85,30,102026,four_arm,3,5,4,0.3,0.08,0.05,0.85,-0.066667,-0.157455,0.024122,0.502475,1.533333,1.351757,1.71491,5e-05,-4.7e-05,0.916654,-0.233333,0.812509,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.08_bf0.05_tn0.85
wj0.08_bf0.05_tn1.00,30,112026,four_arm,3,5,4,0.3,0.08,0.05,1.0,-0.166667,-0.302308,-0.031026,0.064147,1.933333,1.842545,2.024122,5e-05,0.0,1.0,0.0,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.08_bf0.05_tn1.00
wj0.12_bf0.02_tn0.70,30,122026,four_arm,3,5,4,0.3,0.12,0.02,0.7,-0.033333,-0.098667,0.032,1.0,1.3,1.06695,1.53305,5e-05,0.000421,0.549773,-0.166667,0.779261,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.12_bf0.02_tn0.70
wj0.12_bf0.02_tn0.85,30,132026,four_arm,3,5,4,0.3,0.12,0.02,0.85,0.0,0.0,0.0,1.0,1.566667,1.363296,1.770038,5e-05,0.000753,0.20489,-0.166667,0.830908,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.12_bf0.02_tn0.85
wj0.12_bf0.02_tn1.00,30,142026,four_arm,3,5,4,0.3,0.12,0.02,1.0,-0.066667,-0.157455,0.024122,0.500875,2.0,2.0,2.0,5e-05,0.0,1.0,0.0,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.12_bf0.02_tn1.00
wj0.12_bf0.05_tn0.70,30,152026,four_arm,3,5,4,0.3,0.12,0.05,0.7,-0.066667,-0.157455,0.024122,0.494075,1.266667,1.037759,1.495575,5e-05,0.000342,0.647868,1.033333,0.169992,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.12_bf0.05_tn0.70
wj0.12_bf0.05_tn0.85,30,162026,four_arm,3,5,4,0.3,0.12,0.05,0.85,-0.133333,-0.257057,-0.00961,0.126844,1.466667,1.222815,1.710519,5e-05,-0.001135,0.092645,-0.4,0.656867,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.12_bf0.05_tn0.85
wj0.12_bf0.05_tn1.00,30,172026,four_arm,3,5,4,0.3,0.12,0.05,1.0,-0.2,-0.345585,-0.054415,0.029699,1.933333,1.842545,2.024122,5e-05,0.0,1.0,0.0,1.0,/Users/ziy/Code/MiroFishSpace/oasis/examples/experiment/short_video_negative_feedback/batch_output_85plus/wj0.12_bf0.05_tn1.00
