condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,140.266667,2.612085,139.331944,141.201389
baseline,total_negative_feedback,25.466667,2.596195,24.537630,26.395703
baseline,avg_watch_ratio,0.637200,0.001500,0.636663,0.637737
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.166667,0.647719,4.934883,5.398450
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,140.266667,2.612085,139.331944,141.201389
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.637200,0.001500,0.636663,0.637737
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.233333,2.836746,140.218217,142.248450
random,total_negative_feedback,95.566667,7.122976,93.017743,98.115591
random,avg_watch_ratio,0.637130,0.001631,0.636546,0.637714
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.900000,2.218263,5.106205,6.693795
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,140.633333,2.326509,139.800803,141.465864
treatment,total_negative_feedback,31.900000,3.088912,30.794647,33.005353
treatment,avg_watch_ratio,0.637446,0.001541,0.636894,0.637997
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.766667,0.817200,6.474235,7.059098
treatment,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189
