run_id,seed,condition,total_views,total_shares,total_negative_feedback,avg_watch_ratio,avg_traffic_pool_level,comedy_negative_count,comedy_traffic_pool_level,lifestyle_traffic_pool_level
0,42026,baseline,320,135,41,0.6362138062156383,1.0,5,0,0
0,42026,treatment,320,134,37,0.6370139271561386,1.0,6,0,1
0,42026,none,320,135,0,0.6362138062156383,1.0,0,1,0
0,42026,random,320,139,104,0.635254542746671,1.0,7,1,0
1,42027,baseline,320,146,31,0.6353622685189211,1.0,3,1,0
1,42027,treatment,320,143,41,0.6376252338315964,1.0,5,1,0
1,42027,none,320,146,0,0.6353622685189211,1.0,0,1,0
1,42027,random,320,140,91,0.6360391530352738,1.0,10,1,0
2,42028,baseline,320,148,27,0.6359173957419294,1.0,5,1,0
2,42028,treatment,320,138,37,0.6366412600785812,1.0,6,1,0
2,42028,none,320,148,0,0.6359173957419294,1.0,0,1,0
2,42028,random,320,138,103,0.6367779312007974,1.0,3,1,0
3,42029,baseline,320,147,32,0.6386267851812497,1.0,6,1,0
3,42029,treatment,320,148,45,0.6377229356316949,1.0,7,1,0
3,42029,none,320,147,0,0.6386267851812497,1.0,0,1,0
3,42029,random,320,140,97,0.6354334615895749,1.0,12,0,1
4,42030,baseline,320,137,49,0.6375267553643018,1.0,5,1,0
4,42030,treatment,320,148,43,0.6368787280159967,1.0,7,1,1
4,42030,none,320,137,0,0.6375267553643018,1.0,0,1,0
4,42030,random,320,139,96,0.6382299642665936,1.0,3,1,0
5,42031,baseline,320,140,39,0.6391973065696113,1.0,8,1,0
5,42031,treatment,320,141,43,0.6390160755126704,1.0,9,0,1
5,42031,none,320,140,0,0.6391973065696113,1.0,0,1,0
5,42031,random,320,143,102,0.6384699842796964,1.0,5,1,0
6,42032,baseline,320,146,29,0.6381990445930434,1.0,6,1,0
6,42032,treatment,320,145,38,0.6378294902226171,1.0,8,1,0
6,42032,none,320,146,0,0.6381990445930434,1.0,0,1,0
6,42032,random,320,141,83,0.6392840005792787,1.0,3,1,0
7,42033,baseline,320,144,40,0.6358866793307765,1.0,5,1,0
7,42033,treatment,320,137,39,0.6355787692854118,1.0,7,1,0
7,42033,none,320,144,0,0.6358866793307765,1.0,0,1,0
7,42033,random,320,147,109,0.6370903315234101,1.0,9,1,0
8,42034,baseline,320,140,37,0.6368383424684612,1.0,6,1,0
8,42034,treatment,320,144,43,0.6378188456468363,1.0,8,1,0
8,42034,none,320,140,0,0.6368383424684612,1.0,0,1,0
8,42034,random,320,146,108,0.6373984880441828,1.0,11,1,0
9,42035,baseline,320,140,38,0.6375985831568819,1.0,7,1,1
9,42035,treatment,320,144,36,0.6368054769799435,1.0,7,1,0
9,42035,none,320,140,0,0.6375985831568819,1.0,0,1,0
9,42035,random,320,134,91,0.6365720488211319,1.0,6,1,0
10,42036,baseline,320,143,36,0.6390670774617547,1.0,5,1,0
10,42036,treatment,320,144,42,0.6378564946433055,1.0,7,1,0
10,42036,none,320,143,0,0.6390670774617547,1.0,0,1,0
10,42036,random,320,147,94,0.6377834277529393,1.0,6,1,0
11,42037,baseline,320,144,35,0.6352752876780571,1.0,5,1,0
11,42037,treatment,320,140,45,0.6358818260757221,1.0,7,1,0
11,42037,none,320,144,0,0.6352752876780571,1.0,0,1,0
11,42037,random,320,144,97,0.635929533929594,1.0,3,1,0
12,42038,baseline,320,140,31,0.637234825460963,1.0,5,1,0
12,42038,treatment,320,151,38,0.636555707812387,1.0,6,1,1
12,42038,none,320,140,0,0.637234825460963,1.0,0,1,0
12,42038,random,320,147,94,0.6380387437167954,1.0,7,1,0
13,42039,baseline,320,142,44,0.6390184345726682,1.0,7,1,0
13,42039,treatment,320,138,40,0.6379132096322693,1.0,9,1,0
13,42039,none,320,142,0,0.6390184345726682,1.0,0,1,0
13,42039,random,320,139,84,0.6379417993576582,1.0,4,1,0
14,42040,baseline,320,143,35,0.6384806345149852,1.0,6,1,0
14,42040,treatment,320,141,46,0.6372700280305186,1.0,8,1,0
14,42040,none,320,143,0,0.6384806345149852,1.0,0,1,0
14,42040,random,320,140,101,0.6372766705739175,1.0,2,1,0
15,42041,baseline,320,142,30,0.6373183834930117,1.0,5,1,0
