condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-26.200000,2.771779,-27.191868,-25.208132,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.166667,0.592093,-5.378545,-4.954789,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,0.133333,2.979624,-0.932912,1.199578,0.854807
random,total_negative_feedback,71.133333,9.533004,67.721992,74.544675,0.000050
random,avg_watch_ratio,-0.000659,0.003225,-0.001813,0.000495,0.267587
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.166667,1.703613,-0.442964,0.776297,0.676216
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.033333,2.645534,-0.980026,0.913359,1.000000
treatment,total_negative_feedback,6.900000,3.679861,5.583179,8.216821,0.000050
treatment,avg_watch_ratio,-0.000112,0.003357,-0.001314,0.001089,0.858207
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.600000,0.621455,1.377615,1.822385,0.000050
treatment,comedy_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189,0.248938
