run_id,seed,condition,total_views,total_shares,total_negative_feedback,avg_watch_ratio,avg_traffic_pool_level,comedy_negative_count,comedy_traffic_pool_level,lifestyle_traffic_pool_level
0,132026,baseline,320,144,29,0.6288944437938288,1.0,4,1,0
0,132026,treatment,320,144,31,0.6344630827390648,1.0,6,1,0
1,132027,baseline,320,140,25,0.6352465757773175,1.0,5,1,0
1,132027,treatment,320,144,31,0.6358497143492254,1.0,6,1,0
2,132028,baseline,320,142,26,0.6331276808685276,1.0,5,1,0
2,132028,treatment,320,143,30,0.6365105666630869,1.0,7,1,0
3,132029,baseline,320,143,27,0.6373335165477554,1.0,5,1,0
3,132029,treatment,320,141,33,0.6377678846386899,1.0,7,1,0
4,132030,baseline,320,139,24,0.6349344826881382,1.0,5,1,0
4,132030,treatment,320,137,31,0.6361623387155666,1.0,7,1,0
5,132031,baseline,320,140,25,0.628198458596929,1.0,4,1,0
5,132031,treatment,320,143,37,0.6333440213430354,1.0,6,1,0
6,132032,baseline,320,145,24,0.6260890556684711,1.0,5,1,0
6,132032,treatment,320,144,30,0.6297911878568199,1.0,7,1,0
7,132033,baseline,320,150,25,0.6369934657711551,1.0,5,1,0
7,132033,treatment,320,141,34,0.6385727134112382,1.0,7,1,0
8,132034,baseline,320,140,27,0.6334115261010205,1.0,6,1,0
8,132034,treatment,320,143,36,0.634208719109325,1.0,8,1,0
9,132035,baseline,320,142,20,0.6391132163803913,1.0,5,1,0
9,132035,treatment,320,140,29,0.6394478659398011,1.0,6,1,0
10,132036,baseline,320,140,28,0.6367615062646573,1.0,5,1,0
10,132036,treatment,320,138,34,0.6341914353172158,1.0,7,1,0
11,132037,baseline,320,138,23,0.6332475204484139,1.0,5,1,0
11,132037,treatment,320,144,29,0.6357049776833342,1.0,7,1,0
12,132038,baseline,320,143,26,0.6330021021883075,1.0,5,1,0
12,132038,treatment,320,140,31,0.6261234579956367,1.0,7,1,0
13,132039,baseline,320,139,29,0.6381423899611903,1.0,5,1,0
13,132039,treatment,320,140,35,0.6393425887614786,1.0,6,1,0
14,132040,baseline,320,143,25,0.6365902775686971,1.0,5,1,0
14,132040,treatment,320,144,31,0.6381038836749325,1.0,6,1,0
15,132041,baseline,320,142,25,0.6319245053229826,1.0,5,1,0
15,132041,treatment,320,145,32,0.6301169173470615,1.0,6,1,0
16,132042,baseline,320,140,26,0.6389236295948587,1.0,5,1,0
16,132042,treatment,320,141,27,0.6381202904557755,1.0,7,1,0
17,132043,baseline,320,139,21,0.6403201459488675,1.0,5,1,0
17,132043,treatment,320,141,28,0.6420864273027216,1.0,7,1,0
18,132044,baseline,320,146,23,0.6339005669209192,1.0,5,1,0
18,132044,treatment,320,144,35,0.6326480028356829,1.0,7,1,0
19,132045,baseline,320,137,27,0.6282151509948757,1.0,6,1,0
19,132045,treatment,320,139,28,0.6308368625362045,1.0,7,1,0
20,132046,baseline,320,142,23,0.6352974775353751,1.0,5,1,0
20,132046,treatment,320,142,28,0.6356728673350525,1.0,6,1,0
21,132047,baseline,320,141,27,0.6305998459846309,1.0,7,1,0
21,132047,treatment,320,140,36,0.6306629324020261,1.0,8,1,0
22,132048,baseline,320,143,27,0.632382101150471,1.0,5,1,0
22,132048,treatment,320,138,27,0.632331312350516,1.0,5,1,0
23,132049,baseline,320,145,26,0.638958329313884,1.0,6,1,0
23,132049,treatment,320,141,31,0.6337847056645312,1.0,8,1,0
24,132050,baseline,320,141,24,0.6279029232262541,1.0,5,1,0
24,132050,treatment,320,137,32,0.636278995485937,1.0,6,1,0
25,132051,baseline,320,145,29,0.631704614302258,1.0,5,1,0
25,132051,treatment,320,142,37,0.6333909697126239,1.0,7,1,0
26,132052,baseline,320,136,24,0.6379277410428894,1.0,4,1,0
26,132052,treatment,320,141,32,0.6322520207319048,1.0,5,1,0
27,132053,baseline,320,140,23,0.6344180847554848,1.0,5,1,0
27,132053,treatment,320,142,33,0.6361839127877352,1.0,7,1,0
28,132054,baseline,320,145,24,0.6390387417622475,1.0,5,1,0
28,132054,treatment,320,146,34,0.6411465623941978,1.0,7,1,0
29,132055,baseline,320,142,25,0.6328222125854623,1.0,5,1,0
29,132055,treatment,320,142,29,0.6329068886231314,1.0,6,1,0
