run_id,seed,condition,total_views,total_shares,total_negative_feedback,avg_watch_ratio,avg_traffic_pool_level,comedy_negative_count,comedy_traffic_pool_level,lifestyle_traffic_pool_level
0,2026,baseline,16,6,2,0.6373239461252725,1.0,1,1,0
0,2026,treatment,16,7,2,0.6265160932479734,1.0,2,0,1
1,2027,baseline,16,7,3,0.6438900064321519,1.0,1,1,0
1,2027,treatment,16,9,3,0.6413225117047616,1.0,3,0,1
2,2028,baseline,16,8,3,0.6458531305377404,1.0,2,0,1
2,2028,treatment,16,8,5,0.6432861406655977,1.0,4,0,1
3,2029,baseline,16,8,1,0.6542525823183436,1.0,1,1,0
3,2029,treatment,16,8,3,0.6589717881745298,1.0,3,0,1
4,2030,baseline,16,7,1,0.6344390696499832,1.0,1,1,0
4,2030,treatment,16,7,3,0.6547785839519606,1.0,3,0,1
5,2031,baseline,16,7,1,0.6290390716034451,1.0,1,1,0
5,2031,treatment,16,7,3,0.6483475709674138,1.0,3,0,1
6,2032,baseline,16,8,3,0.631587480307473,1.0,2,0,1
6,2032,treatment,16,7,6,0.6352857155860931,1.0,4,0,1
7,2033,baseline,16,9,1,0.6362624159777024,1.0,1,0,1
7,2033,treatment,16,8,4,0.6272109228914995,1.0,3,0,1
8,2034,baseline,16,5,5,0.6161613639724497,1.0,1,1,0
8,2034,treatment,16,5,7,0.6210750304241899,1.0,3,0,1
9,2035,baseline,16,7,2,0.6460567991941379,1.0,1,1,0
9,2035,treatment,16,7,3,0.623744290857261,1.0,2,0,1
10,2036,baseline,16,6,1,0.6220155755369925,1.0,1,1,0
10,2036,treatment,16,6,3,0.6219885772158599,1.0,3,0,1
11,2037,baseline,16,6,1,0.6471864029740887,1.0,1,1,0
11,2037,treatment,16,6,3,0.6494323306673793,1.0,3,0,1
12,2038,baseline,16,6,4,0.6265870723226318,1.0,1,1,0
12,2038,treatment,16,5,4,0.6298860976287058,1.0,2,1,0
13,2039,baseline,16,7,1,0.6661019840242383,1.0,1,1,0
13,2039,treatment,16,7,3,0.6490693721607086,1.0,2,1,0
14,2040,baseline,16,8,2,0.6410250438631762,1.0,1,1,0
14,2040,treatment,16,9,3,0.6414308547812071,1.0,3,0,1
15,2041,baseline,16,7,2,0.6386132488724896,1.0,2,0,1
15,2041,treatment,16,7,3,0.6348036719549067,1.0,3,0,1
16,2042,baseline,16,7,2,0.6269374727747427,1.0,1,1,0
16,2042,treatment,16,7,4,0.6311141188051856,1.0,3,0,1
17,2043,baseline,16,7,1,0.633656691708965,1.0,1,1,0
17,2043,treatment,16,7,3,0.6524449015841502,1.0,3,0,1
18,2044,baseline,16,6,3,0.6306289345921612,1.0,1,1,0
18,2044,treatment,16,5,4,0.6341065602001194,1.0,3,0,1
19,2045,baseline,16,7,1,0.6399472901259783,1.0,1,1,0
19,2045,treatment,16,7,3,0.6393300840222983,1.0,3,0,1
20,2046,baseline,16,7,4,0.6319416728362822,1.0,1,1,0
20,2046,treatment,16,8,5,0.6240106318686629,1.0,3,0,1
21,2047,baseline,16,7,1,0.6317379728542459,1.0,1,1,0
21,2047,treatment,16,7,2,0.6399973837297371,1.0,2,0,1
22,2048,baseline,16,7,3,0.6428070131462971,1.0,2,0,1
22,2048,treatment,16,7,5,0.638150120047158,1.0,4,0,1
23,2049,baseline,16,7,1,0.6366447359786005,1.0,1,1,0
23,2049,treatment,16,7,3,0.6270759285096447,1.0,3,0,1
24,2050,baseline,16,8,1,0.6564497981164231,1.0,1,1,0
24,2050,treatment,16,7,4,0.6577194619131086,1.0,3,0,1
25,2051,baseline,16,7,3,0.6424979190329672,1.0,1,1,0
25,2051,treatment,16,7,5,0.6477945327561028,1.0,3,0,1
26,2052,baseline,16,6,2,0.6238232931598063,1.0,1,1,0
26,2052,treatment,16,6,4,0.6332318105522731,1.0,3,0,1
27,2053,baseline,16,7,2,0.635746485857865,1.0,1,1,0
27,2053,treatment,16,6,2,0.6205505102373459,1.0,2,1,0
28,2054,baseline,16,8,2,0.643009949303342,1.0,1,0,1
28,2054,treatment,16,7,5,0.6245265738356766,1.0,3,1,0
29,2055,baseline,16,9,1,0.6220967583302569,1.0,1,1,0
29,2055,treatment,16,8,4,0.616642130369354,1.0,3,0,1
